Term	Gene
GO_ADAPTIVE_IMMUNE_RESPONSE	LAMP3
GO_ADAPTIVE_IMMUNE_RESPONSE	LAT
GO_ADAPTIVE_IMMUNE_RESPONSE	LAT2
GO_ADAPTIVE_IMMUNE_RESPONSE	LAX1
GO_ADAPTIVE_IMMUNE_RESPONSE	LEF1
GO_ADAPTIVE_IMMUNE_RESPONSE	LIG4
GO_ADAPTIVE_IMMUNE_RESPONSE	LILRA1
GO_ADAPTIVE_IMMUNE_RESPONSE	LILRA2
GO_ADAPTIVE_IMMUNE_RESPONSE	LILRA3
GO_ADAPTIVE_IMMUNE_RESPONSE	LILRA4
GO_ADAPTIVE_IMMUNE_RESPONSE	LILRA6
GO_ADAPTIVE_IMMUNE_RESPONSE	LILRB1
GO_ADAPTIVE_IMMUNE_RESPONSE	LILRB2
GO_ADAPTIVE_IMMUNE_RESPONSE	LILRB3
GO_ADAPTIVE_IMMUNE_RESPONSE	LILRB4
GO_ADAPTIVE_IMMUNE_RESPONSE	LILRB5
GO_ADAPTIVE_IMMUNE_RESPONSE	LIME1
GO_ADAPTIVE_IMMUNE_RESPONSE	LOC440786
GO_ADAPTIVE_IMMUNE_RESPONSE	LY9
GO_ADAPTIVE_IMMUNE_RESPONSE	LYN
GO_ADAPTIVE_IMMUNE_RESPONSE	8-Mar
GO_ADAPTIVE_IMMUNE_RESPONSE	MASP2
GO_ADAPTIVE_IMMUNE_RESPONSE	MBL2
GO_ADAPTIVE_IMMUNE_RESPONSE	MEF2C
GO_ADAPTIVE_IMMUNE_RESPONSE	MICA
GO_ADAPTIVE_IMMUNE_RESPONSE	MICB
GO_ADAPTIVE_IMMUNE_RESPONSE	MLH1
GO_ADAPTIVE_IMMUNE_RESPONSE	MSH2
GO_ADAPTIVE_IMMUNE_RESPONSE	MSH6
GO_ADAPTIVE_IMMUNE_RESPONSE	MYO1G
GO_ADAPTIVE_IMMUNE_RESPONSE	NBN
GO_ADAPTIVE_IMMUNE_RESPONSE	NEDD4
GO_ADAPTIVE_IMMUNE_RESPONSE	NFKB2
GO_ADAPTIVE_IMMUNE_RESPONSE	NLRP10
GO_ADAPTIVE_IMMUNE_RESPONSE	ORAI1
GO_ADAPTIVE_IMMUNE_RESPONSE	OTUB1
GO_ADAPTIVE_IMMUNE_RESPONSE	PAG1
GO_ADAPTIVE_IMMUNE_RESPONSE	PIK3CD
GO_ADAPTIVE_IMMUNE_RESPONSE	PIK3CG
GO_ADAPTIVE_IMMUNE_RESPONSE	POU2F2
GO_ADAPTIVE_IMMUNE_RESPONSE	PRKCB
GO_ADAPTIVE_IMMUNE_RESPONSE	PRKCD
GO_ADAPTIVE_IMMUNE_RESPONSE	PRKD2
GO_ADAPTIVE_IMMUNE_RESPONSE	PTK2B
GO_ADAPTIVE_IMMUNE_RESPONSE	RAB27A
GO_ADAPTIVE_IMMUNE_RESPONSE	RAET1E
GO_ADAPTIVE_IMMUNE_RESPONSE	RAG1
GO_ADAPTIVE_IMMUNE_RESPONSE	RELB
GO_ADAPTIVE_IMMUNE_RESPONSE	RFTN1
