"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Meiosis",1,0.147804607019621,0.882738466194612,1,6.92526151354618e-21,1,1,0.893791978516752,0.828769388003795,1,1,1,0.987139808940778,1,1
"Cell-Cell communication",0.940932010344607,0.49753295611557,1,0.576693605381649,1,0.603359691081916,1,0.955524554317561,0.824494520184627,1,0.602152289055244,0.276346487765566,0.954493579752265,1,0.502061366720162
"Phase II conjugation",1,1,0.91489771420629,1,1,0.855899978824717,0.305219399954961,0.893791978516752,1,1,0.80717598104736,1,1,0.774572091195851,0.273253057614316
"Glutathione conjugation",1,1,0.972816056637447,1,1,0.847425159257008,1,1,1,1,0.485272259999085,1,0.729020844887715,0.991230810375526,0.380826093138224
"Elastic fibre formation",1,0.995959775880093,1,1,1,0.847425159257008,1,0.18944716235912,1,0.792099193235908,0.248964348399077,0.219404570767131,1,1,0.97979499121199
"Signaling by NOTCH",1,0.872291283656966,1,0.780538414173239,0.681990704399201,1,1,1,1,1,1,0.590859474717161,0.979519192019832,1,1
"Telomere Maintenance",1,0.127740458541584,0.909741487500433,1,7.45071902278954e-15,1,1,0.942052310398637,0.824494520184627,1,1,1,0.952993115843287,1,1
"Gap junction trafficking and regulation",1,0.434356991676036,1,1,0.879557942116272,0.985220210430961,1,1,1,0.868510033018608,0.602152289055244,1,0.979519192019832,1,1
"Metabolism of nucleotides",0.997830753731865,1,1,0.464868229827249,0.692532895838498,0.955943848701626,1,0.893791978516752,1,0.98759371013058,0.225692653700133,1,1,1,0.648084233229305
"Activation of Matrix Metalloproteinases",0.980185103568674,1,0.981023355875457,0.821372728777913,0.89266329251819,0.892197579868866,0.628373868347978,0.942052310398637,1,0.792099193235908,1,0.219404570767131,0.639656857864347,1,1
"Signal Transduction",0.949141267201364,0.645641674200017,0.909741487500433,0.000361417281800495,0.000263248408295881,0.555784227122832,1,1,0.824494520184627,1,0.817881012850846,0.702071036748331,1,1,0.686190852439221
"HIV Infection",0.940932010344607,0.439184402300716,1,0.00427835160882438,1,1,0.85092840006429,1,0.00112319238140712,1,1,1,0.639656857864347,1,0.287848496227024
"Host Interactions of HIV factors",0.997830753731865,0.650402928170175,0.963193503222277,5.85431177023815e-06,1,1,0.338115450915873,1,1.00185822054832e-07,1,1,1,0.639656857864347,1,0.28817098635388
