"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Post NMDA receptor activation events",1,1,1,0.884550050393908,0.664449174047455,0.798852672699737,0.574179192593684,1,1,0.929469498654131,0.963582807586695,0.998321663676212,0.787782185856427,0.966631533783508,0.956572217263636
"VEGFA-VEGFR2 Pathway",0.938876804418432,0.838616187500603,0.978220874693971,1,1,0.680914347463731,0.243154009965696,0.993341722894549,0.566181822496052,1,0.893083964726792,1,0.993004839365602,0.966268783111832,1
"Defective B3GALT6 causes EDSP2 and SEMDJL1",0.938876804418432,0.838616187500603,0.835691405326445,1,0.838226471305104,0.856284043820866,0.377463407811136,1,0.0359843556542804,1,0.991782288283951,1,1,1,0.819595711081036
"Activation of NMDA receptor upon glutamate binding and postsynaptic events",1,1,1,0.922448634103104,0.712221335322824,0.842747819271451,0.663797475066431,1,1,0.929469498654131,0.970663346712924,1,0.790261057831926,0.99169578252272,0.967027492537942
"Interaction between L1 and Ankyrins",0.941274463045623,0.838616187500603,0.845593362179372,1,0.544463056694053,0.974494496892179,1,1,1,1,1,1,0.764292392698973,1,0.77127973979158
"Smooth Muscle Contraction",0.53953523779526,1,1,1,0.641180822454826,0.849648574783619,1,1,1,1,1,1,1,0.686314768247299,1
"Aquaporin-mediated transport",1,1,0.582184544694876,1,1,0.975778416964785,1,0.966813171481019,0.825602881272418,0.625987905855051,1,1,1,1,1
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",0.989663863940107,0.916176170230795,0.858077805420849,0.833922808332825,1,1,0.642323758588932,1,0.780763962461731,1,1,0.974901999650662,0.726591343041619,0.735271508756202,1
"Asparagine N-linked glycosylation",1,0.838616187500603,0.38009937140085,0.000265905083119743,1,1,0.00611309539960597,1,0.548653871828333,1,1,0.921375191706341,0.935233117341394,0.472892734968844,0.841541404656489
"Synthesis of substrates in N-glycan biosythesis",0.995552494593061,0.916176170230795,0.827036954570265,0.922130616467619,1,1,0.484116752256294,1,0.683250407876248,1,1,0.959206305667598,1,0.993034135732434,1
"Interleukin-1 signaling",1,1,0.998690059361523,1,1,1,0.0804020225383481,1,1.47875130447511e-09,1,1,1,1,1,1
"Cell junction organization",1,1,1,1,1,0.948401879880456,0.51945161310856,0.544842416009565,0.878193852346463,0.929469498654131,1,1,1,1,0.732539791425606
"Signaling by Interleukins",1,1,0.830041469265514,1,1,1,0.000470487779130319,1,7.78493261386412e-11,1,0.699075600671349,0.942964541216242,1,0.966631533783508,1
"MAP kinase activation in TLR cascade",0.973385125703499,1,0.80675822073567,0.448407308276076,1,1,0.243154009965696,1,1,1,0.762393769336534,1,1,0.645950103294078,1
"Activation of Kainate Receptors upon glutamate binding",1,1,0.564695564182576,0.562493601043734,0.90299778207443,0.680914347463731,1,0.369095828445181,1,0.664739145906959,1,1,1,1,1
"Interleukin-2 signaling",0.938876804418432,0.841146558118123,1,1,1,0.948401879880456,0.288406526881765,1,0.493480144604868,1,0.793531550367015,1,0.837216352834088,0.92258318159625,1
"Transcriptional regulation of pluripotent stem cells",1,1,1,0.0223982960220425,1,1,0.829938734728113,1,1,1,1,1,1,1,0.636292343348971
"Mitotic G2-G2/M phases",0.973385125703499,0.756892576218805,1,1.83138466686866e-08,1,1,0.000508959541560112,0.966813171481019,1,1,1,0.0056616856273514,0.992934729656219,0.221458151877836,1
"Mitotic G1-G1/S phases",0.941274463045623,0.838616187500603,0.965940244484427,1,1,1,0.243154009965696,0.966813171481019,1,1,0.99451357972031,1.01609031489046e-09,1,1,1
"Thrombin signalling through proteinase activated receptors (PARs)",1,0.745016674246974,0.736378110614137,1,1,1,1,0.513861843464515,0.884866053020588,0.95982886716971,0.767455918976054,0.956470819584635,0.994088277809021,0.967486273759644,1
"Asymmetric localization of PCP proteins",0.973385125703499,0.738514406527261,0.607108506189429,0.356796333242341,1,0.680914347463731,0.243154009965696,0.856483431834929,1,0.853351693818759,1,1,1,1,1
"Regulation of FZD by ubiquitination",0.938876804418432,0.482252486709344,0.638566224691739,0.0151640103270485,0.544463056694053,0.777579913015818,0.979008489224666,0.62460208629416,1,0.509284016698543,1,1,0.772173260823791,1,1
"Signaling by WNT in cancer",1,0.838616187500603,0.732399537372303,1,1,0.948401879880456,0.99284123827161,0.694774014702933,0.977353131067883,0.785752079929545,1,1,0.726591343041619,1,1
"Chromatin organization",1,1,1,0.00979565698040591,1,1,0.492616574233913,1,1,0.698303924726301,1,0.613816535084442,1,0.00846667620262413,1
"GPCR ligand binding",1,1,1,1,1,1,0.974297873264574,0.981697267591483,0.000238045841479388,1,0.699075600671349,1,1,1,0.636292343348971
"RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription",1,1,1,3.4180963088905e-06,1,1,1,1,1,0.853351693818759,1,0.588842495701261,1,8.12046355234311e-07,1
"Defective B3GALTL causes Peters-plus syndrome (PpS)",0.973385125703499,0.962704013520131,1,1,0.945566663474601,0.878576387565657,0.953669590100822,0.966813171481019,0.348342682123449,0.830718114136172,0.746111813052388,1,1,0.944638665282935,0.841541404656489
"Interleukin-3, 5 and GM-CSF signaling",0.921251407091753,0.838616187500603,1,1,1,0.884698710906838,0.243154009965696,1,0.493480144604868,1,0.778985982256586,1,0.824973432503954,0.92258318159625,1
"O-linked glycosylation",1,0.838616187500603,0.830041469265514,0.868932761206216,0.90299778207443,1,0.89717484739742,0.966813171481019,0.812106748898698,1,0.970525389711282,0.781044548100665,0.726591343041619,0.854153694298364,0.315220287949592
"O-glycosylation of TSR domain-containing proteins",0.973385125703499,0.962704013520131,1,1,0.945566663474601,0.878576387565657,0.953669590100822,0.966813171481019,0.348342682123449,0.830718114136172,0.746111813052388,1,1,0.944638665282935,0.841541404656489
"VEGFR2 mediated cell proliferation",0.921251407091753,0.838616187500603,1,1,1,0.968104315279647,0.155148915266651,1,0.340174077889403,1,0.793531550367015,1,0.818624383491669,0.956645453154011,1
"Positive epigenetic regulation of rRNA expression",1,1,1,0.000525747999725825,1,1,0.848935573882135,1,1,0.726160774246008,1,0.389881256229225,1,7.01356677804408e-08,1
"B-WICH complex positively regulates rRNA expression",1,1,1,0.000299183880524186,1,1,0.782817625881977,1,1,0.726160774246008,1,0.347341200276236,1,2.70542849467967e-08,1
"Negative epigenetic regulation of rRNA expression",1,1,1,0.000351689357465552,1,1,1,1,1,0.726160774246008,1,0.21497718109338,1,2.70542849467967e-08,1
"Myogenesis",1,0.999804251312358,0.800775121328508,1,1,0.878576387565657,1,1,1,0.929469498654131,1,1,1,1,0.95532844379529
"Diseases of Immune System",1,1,1,1,0.90299778207443,1,0.81366665221281,1,7.48358151958771e-07,1,0.767455918976054,0.781044548100665,1,0.36538908259149,1
"DNA methylation",1,1,1,0.000351689357465552,1,1,1,1,1,0.726160774246008,1,0.414849486152725,1,2.70542849467967e-08,1
"Fatty acid, triacylglycerol, and ketone body metabolism",1,1,1,1,1,0.865115669986252,0.402794815399206,0.77396864983529,0.690805874243145,0.997048169789662,0.909647441566898,0.956470819584635,1,1,1
"Programmed Cell Death",1,1,1,0.429484681116561,0.966257784804223,1,0.0795894433937689,1,0.543063259681416,0.929469498654131,0.699075600671349,0.781044548100665,1,1,1
"Signaling by Hedgehog",1,0.597200896268179,0.752959696374978,0.000136924010306616,1,1,0.339864554125904,1,1,0.967524523336378,1,0.784186274125806,0.993004839365602,0.234581772307784,0.833332549641269
"Signaling by Retinoic Acid",1,1,1,0.941742957688865,0.852791930724751,1,0.81366665221281,1,0.779433151863151,1,1,0.886884275200993,1,1,0.572099108880357
"RA biosynthesis pathway",1,1,1,0.953685402830666,0.852791930724751,1,1,1,0.690805874243145,1,1,0.863706853174222,0.936784231759045,1,0.633995111159967
"Metabolism of lipids and lipoproteins",0.921251407091753,0.991154809396689,0.80675822073567,1,1,0.355736382078899,0.243154009965696,1,0.683250407876248,0.997048169789662,1,0.897412854730277,1,1,1
"Cardiac conduction",0.921251407091753,0.544617353740186,0.998690059361523,1,0.566423416729595,1,1,0.986465871230035,0.829001383508451,0.975388653810164,1,1,0.936784231759045,0.92258318159625,0.636292343348971
"Phase 0 - rapid depolarisation",0.921251407091753,0.838616187500603,1,1,0.0202517824066543,1,1,1,1,1,0.699075600671349,1,0.726591343041619,1,0.633995111159967
"Transcriptional regulation by small RNAs",1,1,1,0.000351689357465552,1,1,1,1,1,0.726160774246008,1,0.354627114529264,1,2.70542849467967e-08,1
"Ion homeostasis",1,0.482252486709344,1,1,0.887985195508888,1,0.51945161310856,0.845113034679278,1,0.994324371435758,1,0.921375191706341,0.993004839365602,0.92258318159625,0.339940313129363
"PIWI-interacting RNA (piRNA) biogenesis",1,1,1,1,0.90299778207443,1,1,1,0.779433151863151,0.997048169789662,0.872235119061451,1,1,1,1
"Diseases associated with the TLR signaling cascade",1,1,1,1,0.90299778207443,1,0.81366665221281,1,7.48358151958771e-07,1,0.767455918976054,0.781044548100665,1,0.36538908259149,1
"Hedgehog 'off' state",1,0.544617353740186,0.638566224691739,3.48116228556904e-08,1,1,0.0388828331073493,1,1,0.985205423606217,1,0.850872719110048,0.828586029791755,0.204745457686312,1
"Activation of anterior HOX genes in hindbrain development during early embryogenesis",1,1,1,0.023514550592708,1,1,1,1,1,0.929469498654131,1,0.13202522757763,1,1.46110797045708e-05,1
"Cilium Assembly",1,0.809080782118768,1,1.07705983178111e-14,1,1,0.201243101558166,1,1,1,1,1,0.822896199466943,0.456507385712203,1
"Disorders of transmembrane transporters",0.951649749954291,0.737434885009434,1,0.448407308276076,0.849061623881704,1,1,1,1,0.929469498654131,1,1,1,1,0.883352008619026
"Activation of HOX genes during differentiation",1,1,1,0.023514550592708,1,1,1,1,1,0.929469498654131,1,0.13202522757763,1,1.46110797045708e-05,1
"Intraflagellar transport",1,0.482252486709344,0.929698673252854,1.61900411176215e-20,1,1,0.0580560309486489,0.966813171481019,1,1,1,0.959206305667598,0.822896199466943,0.0137003050412912,1
"Dectin-2 family",1,0.897041313641161,1,1,1,1,1,0.966813171481019,0.00163973970153021,0.873450132394426,0.991782288283951,0.9090971493194,1,0.854153694298364,0.636292343348971
"C-type lectin receptors (CLRs)",1,1,1,1,1,1,1,1,8.26551305637947e-07,0.997048169789662,0.793609961130572,0.65128265447623,1,0.854153694298364,0.870506028148429
"RHO GTPases activate PKNs",0.973385125703499,1,1,1.20290669013585e-05,1,1,1,1,1,0.726160774246008,1,0.0697171604432431,1,4.99217244821304e-07,1
"Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3",0.9450760209048,1,1,3.77581359565194e-05,1,1,1,1,1,0.726160774246008,1,0.418985763889305,1,3.17153451044998e-08,1
"RHO GTPases activate IQGAPs",1,0.969215363308866,0.752959696374978,4.06621944601979e-15,1,1,0.00186539416390128,0.968716347953881,1,1,1,0.354627114529264,0.787782185856427,0.0228751670997913,1
"TP53 Regulates Metabolic Genes",1,1,0.638566224691739,0.994079859850364,1,0.948401879880456,0.0276349178147646,1,1,1,0.778985982256586,1,0.726591343041619,1,1
"Hedgehog 'on' state",0.995552494593061,0.916176170230795,1,1,1,1,1,1,1,0.929469498654131,0.778361755362858,0.981272239070455,1,1,0.621483110395427
"Regulation of TP53 Activity",1,0.969215363308866,1,1,0.968626550757117,1,0.240580170139495,1,1,1,0.699075600671349,0.497297410204116,0.790261057831926,1,1
"TP53 Regulates Transcription of Cell Death Genes",0.973385125703499,1,0.917224246586891,0.623204043318605,1,0.884698710906838,0.963527372318109,1,1,1,1,0.781044548100665,1,0.966631533783508,1
"Vesicle-mediated transport",1,0.482252486709344,0.591989176838988,0.0244322075000866,0.712221335322824,0.975324499902382,0.0855148851285766,0.855630480410869,0.141955104454273,0.997048169789662,1,0.21497718109338,1,0.87267371354743,1
"Signaling by FGFR1",0.921251407091753,0.856880845027901,1,1,1,1,1,0.533201416268488,1,1,1,1,0.765391567880823,1,1
"Signaling by FGFR2",1,0.838616187500603,1,1,0.929106823106993,0.973895793224523,1,1,1,1,0.991782288283951,1,0.993004839365602,1,1
"Diseases of signal transduction",0.973385125703499,0.969215363308866,0.607108506189429,1,1,0.743850095325499,0.166296514971999,0.623418153323383,0.610227565612001,0.726160774246008,0.998993459951011,1,0.765391567880823,1,1
"Infectious disease",1,1,0.845593362179372,1,0.852791930724751,0.920323514560849,0.800528343890747,0.966813171481019,1,1,0.793531550367015,0.69694576525558,1,0.92258318159625,1
"RHO GTPases Activate Formins",1,1,1,9.44377094216287e-09,1,1,0.0388828331073493,1,1,0.997048169789662,1,0.148566294512795,0.726591343041619,0.166903796412683,1
"TNFR2 non-canonical NF-kB pathway",0.989663863940107,1,0.830041469265514,1,1,0.948401879880456,0.581294361092448,0.966813171481019,1,0.929469498654131,1,0.927751432806354,1,1,1
"Diseases of metabolism",0.973385125703499,0.482252486709344,1,1,0.986570018123903,1,1,0.966813171481019,0.220128576305295,0.929469498654131,0.984633980251676,0.959206305667598,1,0.92258318159625,1
"TNFs bind their physiological receptors",0.995552494593061,0.916176170230795,0.732181700795916,1,1,0.856284043820866,0.89717484739742,0.77396864983529,1,0.994324371435758,1,0.921375191706341,1,1,1
"RAF/MAP kinase cascade",0.921251407091753,0.838616187500603,1,1,1,0.948401879880456,0.243154009965696,1,0.493480144604868,1,0.767455918976054,1,0.848670067684616,0.937899282618852,1
"MAPK family signaling cascades",0.921251407091753,0.838616187500603,1,1,1,0.948401879880456,0.269143417212219,0.993341722894549,0.610227565612001,1,0.699075600671349,0.959206305667598,0.941671005741709,0.92258318159625,1
"Surfactant metabolism",1,0.963630396841598,1,0.942968716197682,0.49201541306836,0.948401879880456,1,1,0.493480144604868,1,0.991782288283951,1,1,1,1
"MAPK1/MAPK3 signaling",0.92773034617844,0.756610777196029,1,1,1,0.974494496892179,0.151426571271819,1,0.493480144604868,1,0.719653216999229,1,0.822896199466943,0.944638665282935,1
"Regulation of TLR by endogenous ligand",1,1,1,1,0.939041281915789,1,1,1,1.46165105728328e-19,1,0.778361755362858,0.979885104698821,1,1,1
"MAPK6/MAPK4 signaling",0.973385125703499,1,0.909269694674426,0.188667202835628,1,0.929043014412057,1,0.966813171481019,1,0.892862492522819,0.699075600671349,0.148566294512795,1,0.92258318159625,1
"Deubiquitination",0.995552494593061,1,0.835691405326445,0.464218246905225,1,1,0.276554439876723,1,1,0.95982886716971,0.773471934644734,0.158165370634289,0.848670067684616,0.12093070104683,1
"UCH proteinases",0.992103849471699,1,1,0.166813448765339,0.923094791540416,0.975324499902382,0.581968701909765,1,1,0.929469498654131,1,0.9090971493194,1,0.0194556070084611,1
"Ub-specific processing proteases",1,1,0.830041469265514,0.397733964351754,1,1,0.354302808766576,1,1,0.929469498654131,0.699075600671349,0.0931300335676245,0.787782185856427,0.0275282603811722,1
"DNA Double-Strand Break Repair",1,1,1,0.0579203182639338,1,1,0.359579040807199,1,1,1,1,0.0592884472457965,1,0.00181124754369584,1
"Homology Directed Repair",1,1,1,0.0266350288365713,1,1,0.669312047669773,1,1,1,1,0.2334696171586,1,0.000350499037613149,1
"Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks",1,1,1,0.0299665437371612,1,1,1,1,1,1,1,0.27766324207587,1,0.000145224740591612,1
"HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA)",1,1,1,0.0266350288365713,1,1,0.669312047669773,1,1,1,1,0.2334696171586,1,0.000350499037613149,1
"Nonhomologous End-Joining (NHEJ)",1,1,1,0.0170046857529096,1,1,1,1,1,1,1,0.660556241706717,1,3.26324726517449e-05,1
"DNA Double Strand Break Response",1,1,1,0.0507219056393784,1,1,0.642323758588932,1,1,1,1,0.2334696171586,1,0.000466859033705138,1
"Processing of DNA double-strand break ends",0.999283201967831,1,1,0.101013383571267,1,1,0.936746644457947,1,1,1,1,0.65518982789128,1,0.000866230253351216,1
"Post-translational protein modification",1,1,0.789540251722422,0.0998166519505453,1,1,0.0093266326314953,1,0.56416229529749,1,1,0.0523604309427589,0.764292392698973,0.280570014177187,0.761610580918939
"Deposition of new CENPA-containing nucleosomes at the centromere",1,1,1,0.00254737173817489,1,1,1,1,1,0.853351693818759,1,0.171638798882648,1,2.70542849467967e-08,1
"Interleukin-6 family signaling",1,0.838616187500603,0.582184544694876,1,1,1,0.523620750978141,0.632265766837572,1,0.948916617695249,0.778985982256586,0.077495318327411,0.759427439575813,1,1
"Interleukin-10 signaling",1,1,1,1,1,1,0.00216083553134137,1,1.35779249473988e-24,1,0.699075600671349,1,1,1,1
"Interleukin-4 and 13 signaling",1,1,0.752959696374978,1,1,1,0.00174172510552221,0.934136563042651,2.8904617579608e-05,1,0.699075600671349,0.877967595848767,1,1,1
"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",1,0.743107792494654,1,1,0.814403675844228,1,0.751380156962169,0.0525499077756009,0.720992968164056,0.802674325057131,0.991782288283951,0.888282650414621,1,1,1
"TP53 Regulates Transcription of Cell Cycle Genes",1,0.661802364234132,1,0.0051423762936614,1,0.828929845644474,4.18646572045796e-06,0.993341722894549,0.939712128217711,1,0.856103177053188,1,1,0.92258318159625,1
"Interactions of neurexins and neuroligins at synapses",0.973385125703499,1,0.961673263150878,0.984311448604304,0.733032839940415,0.842747819271451,1,0.643583842921317,0.720992968164056,0.844633445038524,0.991782288283951,1,0.993501734111871,0.92258318159625,1
"Protein-protein interactions at synapses",0.960901742018022,0.962684274506477,0.917224246586891,0.791754090015862,0.755871206977138,0.948401879880456,1,0.369095828445181,0.878193852346463,0.907732002383493,1,1,1,0.928479938629071,1
"Neutrophil degranulation",1,0.962704013520131,0.950817789894691,1,0.999709363621903,1,1,1,1.65449706759205e-71,0.726160774246008,0.991782288283951,1,1,1,1
"Signaling by BRAF and RAF fusions",0.973385125703499,0.051140776668593,0.998690059361523,0.312438663693616,0.814403675844228,0.975324499902382,0.273806394524385,1,0.661093050340981,1,1,1,0.726591343041619,1,1
"Oncogenic MAPK signaling",0.873518379258882,0.0977199695641024,1,0.358199466368672,0.90299778207443,0.0245969775538977,0.148834503390955,1,0.823699874176444,1,1,1,0.759427439575813,1,1
"Antimicrobial peptides",1,0.482252486709344,1,1,1,1,1,1,5.53014264532324e-17,0.011161304815154,1,1,0.876483653692091,0.92258318159625,1
"Regulation of TP53 Activity through Phosphorylation",1,1,1,1,1,1,0.484425428813563,1,1,0.994324371435758,1,0.981272239070455,0.993004839365602,0.92258318159625,0.77531106828556
"Keratinization",1,1,1,1,1,1,1,0.966813171481019,0.529307665500859,0.726160774246008,1,1,1,0.950222966960289,1
"Metabolism of fat-soluble vitamins",0.921251407091753,0.838616187500603,0.809515410910996,0.845261262564995,1,0.837777674441375,0.301914553542508,1,0.493480144604868,1,1,1,1,1,1
"Signaling by MET",1,0.986747976387307,1,1,1,1,0.819900576338843,0.859488346037822,0.941396749271611,0.929469498654131,1,1,0.992934729656219,1,0.636292343348971
"COPI-mediated anterograde transport",0.973385125703499,0.838616187500603,0.591989176838988,9.30803367438741e-10,1,1,0.000845211888127827,1,1,1,1,0.921375191706341,0.893437103117025,0.206877090074266,0.689729216340235
"Formation of the cornified envelope",1,1,1,1,0.945566663474601,1,1,1,0.493480144604868,0.844633445038524,1,1,1,0.978358389289438,1
"COPI-dependent Golgi-to-ER retrograde traffic",1,0.916176170230795,1,1.09985980580804e-08,1,1,0.0787641066859362,1,1,1,1,0.0740558178533471,0.994088277809021,0.44078017728597,0.732539791425606
"COPI-independent Golgi-to-ER retrograde traffic",1,0.916176170230795,0.764839925109303,1.1271516698794e-16,1,1,0.00420950634969207,1,0.797499312686196,1,1,0.9090971493194,0.993004839365602,0.00739882583710861,1
"Intra-Golgi and retrograde Golgi-to-ER traffic",1,0.482252486709344,1,6.80222901180931e-05,1,1,0.306636451514053,0.887069679799795,1,0.985205423606217,1,0.0697171604432431,0.903741606197283,0.180500451413068,0.937216725577124
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",0.938876804418432,1,1,1,1,1,1,0.795500117618629,0.184472454262784,1,0.762976440698284,1,1,1,1
"Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding",0.921251407091753,0.934495248297946,0.715716988923612,1,0.365410683335025,0.929043014412057,1,0.623418153323383,1,0.929469498654131,1,1,1,1,1
"Mitotic Prophase",0.995552494593061,1,1,0.000188671484998085,1,1,0.844820780177847,1,1,0.784202911902491,1,0.404352432296458,1,1.46110797045708e-05,1
"Mitotic Prometaphase",1,0.861175970748659,1,3.69048548496924e-07,1,1,0.000101498350351203,1,1,1,1,0.0697171604432431,0.726591343041619,0.1025376580133,0.892600895871952
"Mitotic Anaphase",1,0.916176170230795,1,7.81359316216837e-11,1,1,1.30563599133287e-05,1,1,1,1,0.158165370634289,0.726591343041619,0.103558975994104,0.922249480322024
"M Phase",1,1,1,1.48264135705967e-10,1,1,0.00799143199786263,1,1,0.929469498654131,1,0.00894581107369586,0.759427439575813,2.67039747863186e-06,1
"Cyclin E associated events during G1/S transition ",0.973385125703499,0.838616187500603,0.897149665173798,0.976318922445146,1,1,0.639280961591502,0.966813171481019,1,0.929469498654131,0.99451357972031,0.224065441228035,1,1,1
"G1/S Transition",0.989663863940107,0.962704013520131,1,0.818401588109745,1,1,0.25509188959485,1,1,0.929469498654131,1,0.000917268018173214,1,1,0.969891128191989
"Cyclin D associated events in G1",0.988697214602234,0.482252486709344,0.638566224691739,1,0.988376618865808,1,0.974297873264574,0.966813171481019,1,1,0.699075600671349,6.60402765700036e-05,1,1,1
"G1 Phase",0.988697214602234,0.482252486709344,0.638566224691739,1,0.988376618865808,1,0.974297873264574,0.966813171481019,1,1,0.699075600671349,6.60402765700036e-05,1,1,1
"S Phase",0.995552494593061,0.838616187500603,1,0.666338011208595,1,1,0.42402275029827,0.966813171481019,1,0.848575266222438,1,0.0559705695672569,1,0.978358389289438,1
"G2/M Transition",0.973385125703499,0.756892576218805,1,1.83138466686866e-08,1,1,0.000508959541560112,0.966813171481019,1,1,1,0.0056616856273514,0.992934729656219,0.221458151877836,1
"Cell Cycle, Mitotic",1,1,1,1.508510620629e-06,1,1,0.000925303841137366,1,1,0.924229737484738,1,5.75773795129663e-13,0.848670067684616,0.00209676682685619,1
"DNA Replication",1,0.923383431714299,0.992622537245051,0.922448634103104,0.929106823106993,1,0.0999728407829898,0.910230855965365,1,0.997048169789662,0.832640307771702,0.026056004372027,1,1,0.869503626090915
"G2/M DNA damage checkpoint",1,1,1,0.000831475472957726,1,1,0.877877699409339,1,1,1,1,0.450907846826236,1,0.00181416364289575,1
"G2/M Checkpoints",1,1,1,0.045073759041924,1,1,0.468499227657078,1,1,0.929469498654131,1,0.0452433114677551,1,0.0405359566058042,0.820456530339099
"Cell Cycle Checkpoints",1,1,1,0.1753398456153,1,1,0.240580170139495,1,1,0.975388653810164,1,0.0803491606622444,1,0.0624974351178888,0.841541404656489
"Glucose metabolism",1,0.797370559722531,0.950817789894691,1,1,0.974494496892179,1,1,0.030680167571692,0.993805572472628,1,1,1,0.805415060705168,0.9774843583574
"Amino acid synthesis and interconversion (transamination)",1,1,0.805014219185793,0.464218246905225,0.884205692006131,1,0.963527372318109,1,1,0.993055789971938,1,0.988795091799765,0.992934729656219,1,1
"Metabolism of amino acids and derivatives",1,1,0.950817789894691,0.857455313687588,0.852791930724751,1,0.402794815399206,0.387327714823504,1,1,0.970053251061347,0.749416271469753,1,1,0.890927782667708
"Metabolism of carbohydrates",1,0.969215363308866,0.673189453312052,1,1,0.968104315279647,1,0.966813171481019,0.00599490400779415,1,1,1,1,1,1
"RNA Polymerase I Promoter Opening",1,1,1,0.000188671484998085,1,1,1,1,1,0.726160774246008,1,0.354627114529264,1,1.31248459089728e-08,1
"RNA Polymerase I Chain Elongation",1,1,1,0.000188671484998085,1,1,1,1,1,0.726160774246008,1,0.354627114529264,1,1.31248459089728e-08,1
"RNA Polymerase I Promoter Clearance",1,1,1,0.000351689357465552,1,1,1,1,1,0.726160774246008,1,0.414849486152725,1,2.70542849467967e-08,1
"RNA Polymerase I Transcription",1,1,1,4.62165998977167e-07,1,1,1,1,1,0.825455432722083,1,0.450907846826236,1,7.01356677804408e-08,1
"Chromosome Maintenance",1,1,1,0.000583334854892113,1,1,0.96451999985276,1,1,0.750453812896256,1,0.127946860303078,1,5.77968351678434e-08,1
"DNA Repair",1,1,1,0.27842274701055,1,1,0.301914553542508,1,1,1,1,0.0697171604432431,1,0.00761500997453614,1
"Lipid digestion, mobilization, and transport",0.921251407091753,1,0.830041469265514,0.697383615728719,1,0.892944928931728,0.451968527864838,1,1,1,0.699075600671349,0.811550492382465,1,0.674157090999062,1
"Gene Expression",0.921251407091753,1,1,0.276329646267665,1,1,2.83629729665134e-05,1,1,0.994324371435758,0.00025828983537127,1,0.858369239096864,0.245032366713431,1
"Insulin receptor signalling cascade",0.921251407091753,0.838616187500603,1,1,1,0.956092569580372,0.269143417212219,0.970693793071425,0.493480144604868,1,0.699075600671349,1,0.765391567880823,0.986544356129293,1
"Signaling by Insulin receptor",0.921251407091753,0.838616187500603,1,1,1,0.948401879880456,0.301914553542508,0.993341722894549,0.493480144604868,1,0.719653216999229,1,0.787782185856427,1,1
"Fatty Acyl-CoA Biosynthesis",1,1,1,1,1,0.743850095325499,0.819900576338843,0.845113034679278,1,0.985205423606217,1,1,1,1,1
"Triglyceride Biosynthesis",0.995552494593061,1,1,1,1,0.743850095325499,0.982975194536778,0.605478940947913,1,1,1,1,1,1,1
"Apoptotic execution  phase",1,1,0.806552173574868,0.300441977929739,1,1,0.0295918570438942,1,1,0.309736382839365,0.830860433515881,0.82979750947766,1,1,1
"Platelet Adhesion to exposed collagen",1,0.962921043081967,0.80675822073567,1,1,1,0.731120655081314,1,0.655724535279611,0.297714684739728,1,0.9090971493194,0.764292392698973,0.96961492872917,1
"Platelet activation, signaling and aggregation",1,0.916176170230795,1,1,0.926598453815906,1,1,1,0.000524490461972454,0.929469498654131,1,0.981272239070455,0.994088277809021,0.966631533783508,1
"Response to elevated platelet cytosolic Ca2+",1,1,1,1,0.871883548864749,1,1,1,0.000181265361024122,0.865506412421829,1,1,1,0.999130557174897,0.922249480322024
"Platelet Aggregation (Plug Formation)",1,0.482252486709344,0.752959696374978,1,1,1,0.671948279478737,1,1,1,1,1,0.790261057831926,1,0.903790041921197
"Nucleosome assembly",1,1,1,0.00254737173817489,1,1,1,1,1,0.853351693818759,1,0.171638798882648,1,2.70542849467967e-08,1
"Interferon gamma signaling",1,1,1,1,1,0.948401879880456,0.333221650961192,1,0.85359141510239,1,0.80075097372791,0.238784370332015,1,0.966631533783508,1
"Gastrin-CREB signalling pathway via PKC and MAPK",0.938876804418432,1,1,1,1,1,0.877877699409339,0.893239179502612,0.31246834952644,1,0.699075600671349,1,1,0.944638665282935,1
"Signaling by PTK6",0.433338824765049,0.875161432786707,0.80675822073567,1,1,0.0795005068065732,0.195670943677276,1,0.229581687084816,1,0.762976440698284,0.89396850501489,0.993004839365602,1,1
"The role of GTSE1 in G2/M progression after G2 checkpoint",1,0.835769928334708,0.800775121328508,5.107544152017e-16,1,1,6.08120339623622e-05,1,1,1,0.993288769285182,0.9090971493194,1,0.0481020851597581,0.960831421697738
"RET signaling",0.921251407091753,0.838616187500603,1,1,1,0.856284043820866,0.351728440172466,1,0.565350243960184,1,0.778361755362858,1,0.790261057831926,0.966177894995974,1
"Golgi-to-ER retrograde transport",1,0.969215363308866,1,1.02412066912902e-07,1,1,0.158259466040796,1,1,1,1,0.123892103263301,1,0.583561530590291,0.77531106828556
"Cargo recognition for clathrin-mediated endocytosis",1,0.838616187500603,1,0.770911836704733,0.983441203546768,0.777579913015818,1,1,1,0.96138765143272,1,0.681033325877538,1,0.47295754231973,1
