"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"HIV Infection",1,1,0.638566224691739,1,0.734016693061691,0.974494496892179,0.99344297885557,0.634923976065258,1,0.929469498654131,0.794288248168564,0.354627114529264,1,0.507686537777352,1
"Host Interactions of HIV factors",1,1,0.950817789894691,1,0.49201541306836,1,1,1,1,1,0.699075600671349,0.154227648538868,1,0.0540621732700753,1
"Glycosaminoglycan metabolism",0.951649749954291,1,0.800775121328508,1,0.912712148379288,0.948401879880456,1,0.966813171481019,0.105945626526212,1,0.970053251061347,1,1,1,1
"Post-translational modification: synthesis of GPI-anchored proteins",1,1,1,1,1,1,1,1,0.511760567406524,1,1,0.942956125372729,0.793478693619149,1,0.806061042319234
"Glucagon signaling in metabolic regulation",0.951649749954291,1,0.0306608658634399,0.959532221758216,1,0.743850095325499,1,0.735422021521995,1,0.844633445038524,1,0.942964541216242,0.790261057831926,1,1
"Integration of energy metabolism",0.973385125703499,0.482252486709344,0.582184544694876,0.867298995767038,0.851736157291333,0.937082740193664,1,0.77396864983529,1,0.889291826049683,1,0.89396850501489,1,0.92258318159625,1
"Keratan sulfate/keratin metabolism",0.995552494593061,1,1,1,1,1,1,0.643583842921317,0.655724535279611,1,0.98173484123228,0.913947534372686,1,1,0.833332549641269
"Heparan sulfate/heparin (HS-GAG) metabolism",0.973385125703499,0.838616187500603,1,1,0.852791930724751,0.680914347463731,0.877877699409339,1,0.130118619492569,1,1,1,1,1,1
"Cell Cycle",1,0.999804251312358,1,9.11223500014691e-06,1,1,0.000546718545541758,1,1,0.889291826049683,1,5.35639877782547e-12,0.818624383491669,0.0127939637143241,1
"Disease",1,0.962704013520131,0.845593362179372,1,0.933166846575576,0.743850095325499,0.328050881812047,0.735422021521995,0.0261717851336057,0.929469498654131,0.935244690839864,1,1,0.928479938629071,1
"Collagen biosynthesis and modifying enzymes",0.973385125703499,0.824272123950025,1,1,1,0.948401879880456,0.99344297885557,1,1,1,1,1,0.941671005741709,0.966631533783508,1
"Regulation of cholesterol biosynthesis by SREBP (SREBF)",1,0.0977199695641024,1,0.5262126535106,0.814403675844228,0.901090758957822,0.0270270468805102,0.694774014702933,1,0.726160774246008,0.933613605955923,0.9090971493194,0.726591343041619,1,1
"Toll Like Receptor 4 (TLR4) Cascade",1,1,0.752959696374978,1,1,1,0.776644700141637,0.968716347953881,0.000497467033768324,1,0.767455918976054,1,1,0.860777567196066,1
"Synthesis of PIPs at the plasma membrane",1,1,0.639070088156682,1,0.852791930724751,1,0.468499227657078,0.966813171481019,1,1,0.699075600671349,1,0.787782185856427,1,0.966796002536855
"Activated TLR4 signalling",1,1,0.900116755054562,0.873581740770762,1,1,0.402272490696664,0.966813171481019,0.000300110809757533,1,0.699075600671349,1,1,0.488043882916193,1
"MyD88:Mal cascade initiated on plasma membrane",1,1,0.830041469265514,0.818401588109745,1,0.974494496892179,0.339864554125904,0.966813171481019,9.59108529815924e-05,1,0.699075600671349,1,1,0.583999238241171,1
"Sphingolipid de novo biosynthesis",0.938876804418432,0.969054837033087,0.781233094770467,1,0.566423416729595,0.743850095325499,1,0.935711957154999,1,0.997048169789662,1,0.588842495701261,1,1,1
"MyD88-independent TLR3/TLR4 cascade ",0.973385125703499,1,1,0.623204043318605,1,1,0.25509188959485,0.966813171481019,0.0990352550929176,1,0.699075600671349,1,1,0.488043882916193,1
"Signalling by NGF",0.921251407091753,0.797370559722531,0.752959696374978,1,1,0.680914347463731,0.0891796464003685,0.975416798191008,0.896636790609026,1,0.934706925657181,1,0.787782185856427,1,1
"Complement cascade",1,0.838616187500603,0.994609909172335,1,0.712221335322824,1,1,1,1.63566970472289e-06,0.924298027731775,1,1,1,0.956645453154011,0.822017666198508
"Initial triggering of complement",1,0.838616187500603,1,1,0.852791930724751,1,1,1,2.17058918837033e-05,0.993055789971938,1,0.9090971493194,1,0.956645453154011,0.636292343348971
"Signalling to RAS",0.921251407091753,0.838616187500603,1,1,1,0.884698710906838,0.269143417212219,1,0.493480144604868,1,0.793531550367015,1,0.899062203938796,0.937528920984989,1
"Toll Like Receptor 9 (TLR9) Cascade",0.941274463045623,1,0.994609909172335,0.67222219442937,1,0.948401879880456,0.301914553542508,0.966813171481019,0.0355753271269187,0.997048169789662,0.762393769336534,1,1,0.854153694298364,1
"Toll Like Receptor 10 (TLR10) Cascade",0.973385125703499,1,0.844267941877808,0.550968922168587,1,0.975324499902382,0.291180717049152,1,0.568403746943306,1,0.991782288283951,1,1,0.381961191807142,1
"Toll Like Receptor 3 (TLR3) Cascade",0.973385125703499,1,1,0.623204043318605,1,1,0.25509188959485,0.966813171481019,0.0990352550929176,1,0.699075600671349,1,1,0.488043882916193,1
